sortie,leg,from,to,intersected_cell_count,maximum_ground_m,cruise_altitude_m,minimum_clearance_m,compliant
P00009,1,O01,S004,276,348.2391662597656,398.2391662597656,50.0,True
P00009,2,S004,O01,276,348.2391662597656,398.2391662597656,50.0,True
P00010,1,O01,S005,181,276.410888671875,326.410888671875,50.0,True
P00010,2,S005,O01,181,276.410888671875,326.410888671875,50.0,True
P00011,1,O01,S006,116,316.09783935546875,366.09783935546875,50.0,True
P00011,2,S006,O01,116,316.09783935546875,366.09783935546875,50.0,True
P00014,1,O01,S009,253,243.22891235351562,293.2289123535156,50.0,True
P00014,2,S009,O01,253,243.22891235351562,293.2289123535156,50.0,True
P00018,1,O01,S011,123,245.36175537109375,295.36175537109375,50.0,True
P00018,2,S011,O01,123,245.36175537109375,295.36175537109375,50.0,True
P00020,1,O01,S012,354,363.3009948730469,413.3009948730469,50.0,True
P00020,2,S012,O01,354,363.3009948730469,413.3009948730469,50.0,True
P00024,1,O01,S014,203,541.9473876953125,591.9473876953125,50.0,True
P00024,2,S014,O01,203,541.9473876953125,591.9473876953125,50.0,True
P00026,1,O01,S015,286,521.7992553710938,571.7992553710938,50.0,True
P00026,2,S015,O01,286,521.7992553710938,571.7992553710938,50.0,True
P00028,1,O01,S008,321,322.9093322753906,372.9093322753906,50.0,True
P00028,2,S008,O01,321,322.9093322753906,372.9093322753906,50.0,True
P00030,1,O01,S008,321,322.9093322753906,372.9093322753906,50.0,True
P00030,2,S008,O01,321,322.9093322753906,372.9093322753906,50.0,True
P00032,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
P00032,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
P00035,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
P00035,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
P00037,1,O01,S002,323,258.9542541503906,308.9542541503906,50.0,True
P00037,2,S002,O01,323,258.9542541503906,308.9542541503906,50.0,True
P00040,1,O01,S002,323,258.9542541503906,308.9542541503906,50.0,True
P00040,2,S002,O01,323,258.9542541503906,308.9542541503906,50.0,True
P00041,1,O01,S003,338,511.80413818359375,561.8041381835938,50.0,True
P00041,2,S003,O01,338,511.80413818359375,561.8041381835938,50.0,True
P00044,1,O01,S003,338,511.80413818359375,561.8041381835938,50.0,True
P00044,2,S003,O01,338,511.80413818359375,561.8041381835938,50.0,True
P00057,1,O01,S007,213,461.9731750488281,511.9731750488281,50.0,True
P00057,2,S007,O01,213,461.9731750488281,511.9731750488281,50.0,True
P00071,1,O01,S010,203,385.63653564453125,435.63653564453125,50.0,True
P00071,2,S010,O01,203,385.63653564453125,435.63653564453125,50.0,True
P00089,1,O01,S013,228,349.18182373046875,399.18182373046875,50.0,True
P00089,2,S013,O01,228,349.18182373046875,399.18182373046875,50.0,True
P00107,1,O01,S013,228,349.18182373046875,399.18182373046875,50.0,True
P00107,2,S013,S010,60,454.07037353515625,504.07037353515625,50.0,True
P00107,3,S010,O01,203,385.63653564453125,435.63653564453125,50.0,True
P00137,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
P00137,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
P00140,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
P00140,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
P00143,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
P00143,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
P00146,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
P00146,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
P00272,1,O01,S007,213,461.9731750488281,511.9731750488281,50.0,True
P00272,2,S007,O01,213,461.9731750488281,511.9731750488281,50.0,True
P00275,1,O01,S007,213,461.9731750488281,511.9731750488281,50.0,True
P00275,2,S007,O01,213,461.9731750488281,511.9731750488281,50.0,True
P00278,1,O01,S007,213,461.9731750488281,511.9731750488281,50.0,True
P00278,2,S007,O01,213,461.9731750488281,511.9731750488281,50.0,True
